Site ID (all located in Germania),Name Given/(Name Searched), Pleiades Catalog
urn:cite:ptolemy:lonlat.pt_ll_875, "Askaukalis/(Alkimoennis)", 123068
urn:cite:ptolemy:lonlat.pt_ll_867, Kistouia/(Kistidizos), 222086
urn:cite:ptolemy:lonlat.pt_ll_874, "Skourgon/(Stragona)", 123121
Aleisos in Germania, Aleisos/(Alisios/Alesios), 573071
Lakibourgion in Germania, Lakibourgion/(Askibourgion), 129862
Bounition in Germania, Bounition/ (Bounimai/Bouneima/Bounimon), 536067
urn:cite:ptolemy:lonlat.pt_ll_871, "Ouirounon/ (Ouibantauarion)", 229576
Koinoēnon in Germania, Koinoēnon/(Koinyra), 501473
urn:cite:ptolemy:lonlat.pt_ll_872, "Ouirition/(Ouidros)", 101212
urn:cite:ptolemy:lonlat.pt_ll_857, Phlēoum/(Phyllaioi), 543844
urn:cite:ptolemy:lonlat.pt_ll_858, Siatoutanda, 101214
urn:cite:ptolemy:lonlat.pt_ll_859, Tekelia, 101217
urn:cite:ptolemy:lonlat.pt_ll_860, Phabiranon/(Fabaria), 101188
urn:cite:ptolemy:lonlat.pt_ll_861, Trēoua/(Tragisa), 118996
urn:cite:ptolemy:lonlat.pt_ll_862, Leuphana/(Leufana), 798072
urn:cite:ptolemy:lonlat.pt_ll_863, Lirimiris, x
urn:cite:ptolemy:lonlat.pt_ll_864, Mariōnis/(Marianae), 148085
urn:cite:ptolemy:lonlat.pt_ll_865, Mariōnis hetera, x
